id,geschlecht,alter,bildung,sprachkenntnis_deutsch,lrs,mnz_häufigkeit_textform,mnz_digital,mnz_präferenz,mnz_print,textform,kernthema,kernthema_punkte,priming,priming_codiert,textverstaendnis,begriff,begriff_punkte,stelle_1,stelle_1_punkte,wahr_oder_falsch,wahr_oder_falsch_punkte,jahreszahl_1,jahreszahl_1_punkte,stelle_2,stelle_2_punkte,land,land_punkte,parteien,parteien_punkte,parteichefin,parteichefin_punkte,vorwurf,vorwurf_punkte,jahreszahl_2,jahreszahl_2_punkte,gesamtpunkte,tageszeit,zustand
1,1,3,2,1,1,1,1,3,1,A062,"Wahl in Indien, Parteien",2,Kaum,2,A232,Gandhi-Dynastie,1,Unsicher/Ich müsste raten,0,richtig,1,Unsicher/ich müsste raten,0,Unsicher/ich müsste raten,0,Indien,1,300,1,,0,,0,2014,1,7,2,1
2,2,3,4,1,1,1,1,3,3,A062,Regierungsbildung in Indien,1,Gar nicht,1,A231,Gandhi-Dynastie,1,Am Ende,1,richtig,1,2011,1,Unsicher/ich müsste raten,0,Indien,1,300,1,,0,Korruption,1,2014,1,9,3,3
3,2,2,4,1,1,2,3,1,4,A061,Die bevorstehenden Wahlen in Indien und der damit verbunden Korruption,2,Kaum,2,A231,Unsicher/ich müsste raten,0,Unsicher/Ich müsste raten,0,richtig,1,Unsicher/ich müsste raten,0,Unsicher/ich müsste raten,0,,0,300,1,,0,Korruption,1,2002,0,5,3,3
4,1,2,3,1,1,2,3,1,2,A062,Die anstehenden Parlamentswahlen in Indien im Jahr 2014 und ob die Bedürfnisse der Armen dabei berücksichtigt werden.,2,Gar nicht,1,A232,Gandhi-Dynastie,1,Am Ende,1,Unsicher/Ich müsste raten,0,2011,1,In der Mitte,1,Indien,1,300,1,,0,,0,2014,1,9,2,3
5,1,2,4,1,1,4,3,1,5,A062,Die Neuwahlen in Indien und vergangene politische Systeme dort,2,Gar nicht,1,A231,Gandhi-Dynastie,1,Am Anfang,0,richtig,1,Unsicher/ich müsste raten,0,Unsicher/ich müsste raten,0,Indien,1,300,1,,0,Korruption,1,,0,7,3,3
6,2,1,4,1,1,2,3,3,4,A061,Der Kampf um die Führung Indiens bei den neuen Wahlen. Es wurden die drei großen Vertreter und einige Hintergründe beschrieben.,2,Gar nicht,1,A231,Gandhi-Dynastie,1,Am Ende,1,Unsicher/Ich müsste raten,0,2011,1,Unsicher/ich müsste raten,0,Indien,1,300,1,,0,Korruption,1,,0,8,1,3
7,2,1,4,1,1,1,1,1,5,A062,Indische Wahl,2,Sehr gut,4,A231,Gandhi-Dynastie,1,Am Ende,1,richtig,1,2011,1,In der Mitte,1,Indien,1,,0,,0,Korruption,1,2024,0,9,3,3
8,2,2,3,1,1,2,3,3,3,A062,Über Koruption und Machtkampf bei der nächsten Wah,0,Kaum,2,A231,Gandhi-Dynastie,1,In der Mitte,0,richtig,1,2011,1,In der Mitte,1,2015,0,300,1,Gandhi,1,,0,2014,1,7,2,3
9,2,1,4,1,1,1,2,1,5,A061,"Politik in Indien, Fokus auf Korruption und Kandidaten einer Parlamentswahl, die sich gegen Korruption stellen.",2,Gar nicht,1,A231,Unsicher/ich müsste raten,0,Am Ende,1,Unsicher/Ich müsste raten,0,2011,1,Am Ende,0,Indien,1,300,1,,0,,0,,0,6,3,3
10,1,2,2,1,1,3,4,1,5,A061,"Die anstehenden Wahlen im Jahr 2014 in Indien, drei Haupt-Kandidaten Modi (""Diktator""), Ghandi (""Prinz"") und Kejriwal (""Aztek"")(richtungsweisend). Die Schwierigkeit Indiens Bevölkerung von Korruption zu befreien, die neue Regierungsform zu wählen, wobei Rechte der Frauen nicht thematisiert wurden und  die zukünftige Regierungsform so zu wählen, dass Indien voran kommt.",2,Etwas,3,A233,Unsicher/ich müsste raten,0,Am Ende,1,richtig,1,2011,1,Unsicher/ich müsste raten,0,,0,,0,,0,,0,,0,5,1,3
11,1,1,3,1,1,2,2,1,3,A062,"Die Parlamentswahlen in Indien, die relevanten Einflüsse, Wünsche, Intentionen und Strukturen der Gesellschaft dazu",2,Kaum,2,A231,Gandhi-Dynastie,1,Am Ende,1,Unsicher/Ich müsste raten,0,Unsicher/ich müsste raten,0,Unsicher/ich müsste raten,0,Indien,1,300,1,,0,Korruption,1,,0,7,3,1
12,1,1,4,1,1,1,3,1,5,A061,"Die Wahlen in Indien und die wichtigsten Informationen rund um die Wahl und die Personen, welche bei den Wahlen wichtige Rollen spielen.",2,Gar nicht,1,A231,Unsicher/ich müsste raten,0,In der Mitte,0,Unsicher/Ich müsste raten,0,2011,1,Unsicher/ich müsste raten,0,,0,300,1,Gandhi,1,Korruption,1,2014,1,7,2,3
13,2,1,4,1,1,1,1,1,4,A061,"Die gewaltigen Unterschiede der Kandidaten in der kommenden Parlamentswahl, und deren grundverschiedenen Ansichten und Motivationen innerhalb der indischen Gesellschaft.",1,Kaum,2,A231,Gandhi-Dynastie,1,Am Ende,1,richtig,1,2011,1,Am Anfang,0,,0,300,1,,0,Korruption,1,2014,1,8,2,3
14,1,3,4,1,1,1,3,1,3,A062,Anstehende Wahlen in Indien und die Hintergründe der drei wichtigsten Kandidaten,2,Kaum,2,A231,Gandhi-Dynastie,1,Am Ende,1,richtig,1,2011,1,In der Mitte,1,Indien,1,300,1,Ghandi,1,Korruption,1,2014,1,12,3,3
15,1,2,4,1,1,4,3,1,2,A062,Hintergrund zur politischen Lage in Indien im Hinblick auf anstehende Wahlen,2,Gar nicht,1,A232,Gandhi-Dynastie,1,Am Ende,1,richtig,1,2011,1,Am Anfang,0,Indien,1,300,1,,0,,0,2014,1,9,4,1
16,1,3,4,1,1,2,2,2,3,A061,Die Wahl in Indien,2,Gar nicht,1,A232,Gandhi-Dynastie,1,In der Mitte,0,richtig,1,2011,1,Am Anfang,0,Indien,1,,0,,0,,0,2014,1,7,3,3
17,2,4,1,1,1,1,1,1,2,A061,Korruption in der Indische Republik  /    Arm gegen Reich,1,Etwas,3,A231,Gandhi-Dynastie,1,Am Ende,1,Unsicher/Ich müsste raten,0,Unsicher/ich müsste raten,0,Unsicher/ich müsste raten,0,Indien,1,10,0,Kawehre,0,Korruption,1,2011,0,5,3,3
18,2,3,4,1,1,2,4,2,3,A062,Wahlen in Indien,2,Kaum,2,A231,Gandhi-Dynastie,1,Am Ende,1,Unsicher/Ich müsste raten,0,2011,1,Am Anfang,0,Indien,1,,0,,0,Korruption,1,2025,0,7,3,3
19,2,1,4,1,1,1,2,1,5,A062,Gesellschaftliche und politische Situation in Indien.,1,Kaum,2,A231,Prinzen-Dynastie,0,Am Ende,1,richtig,1,2011,1,In der Mitte,1,Indien,1,300,1,,0,Korruption,1,,0,8,3,1
21,1,1,4,1,1,4,4,1,5,A062,Politik/Wahlen in Indien 2014,2,Gar nicht,1,A232,Gandhi-Dynastie,1,Am Ende,1,richtig,1,2011,1,Unsicher/ich müsste raten,0,Indien,1,300,1,,0,Korruption,1,2014,1,10,3,3
22,1,3,4,1,1,1,3,3,2,A061,Politische Situation in Indien und Korruption,1,Kaum,2,A231,Gandhi-Dynastie,1,Am Ende,1,richtig,1,2011,1,In der Mitte,1,Infien,1,300,1,Gandhi,1,Korruption,1,2014,1,11,2,3
23,1,2,4,1,2,2,3,1,3,A061,Die Wahlen von Indien 2014,2,Gar nicht,1,A233,Gandhi-Dynastie,1,Am Ende,1,richtig,1,2011,1,Unsicher/ich müsste raten,0,Indien,1,300,1,,0,Korruption,1,,0,9,3,1
24,2,1,4,1,1,1,1,1,4,A062,"Wahlen in Indien, Gesellschaftskritische Perspektive hierzu",2,Gar nicht,1,A231,Gandhi-Dynastie,1,Am Ende,1,richtig,1,2011,1,In der Mitte,1,Indien,1,300,1,,0,,0,,0,9,1,1
25,2,3,2,1,1,1,2,2,1,A061,Die Wahl des Parlaments in Indien,2,Kaum,2,A231,Gandhi-Dynastie,1,Am Ende,1,richtig,1,2011,1,Am Anfang,0,Indien,1,300,1,Gandhi,1,Korruption,1,2016,0,10,3,3
26,2,2,4,1,1,1,3,2,1,A062,Wahlen in Indien mit Beschreibung von drei potentiellen Kandidaten,2,Gar nicht,1,A231,Unsicher/ich müsste raten,0,Unsicher/Ich müsste raten,0,Unsicher/Ich müsste raten,0,Unsicher/ich müsste raten,0,Unsicher/ich müsste raten,0,Indien,1,3,0,Weiß ich nicht,0,---,0,---,0,3,1,2
27,2,2,4,1,1,1,1,1,2,A061,Die Wahlen in Indien,2,Gar nicht,1,A231,Gandhi-Dynastie,1,Am Ende,1,richtig,1,2011,1,In der Mitte,1,Indien,1,300,1,,0,Korruption,1,2014,1,11,1,3
28,1,1,3,1,1,3,2,1,5,A061,"Politik in Indien, Korruption macht Inder unzufrieden, sie ändern aber nichts daran und vor allem Frauen leiden darunter.",1,Kaum,2,A231,Gandhi-Dynastie,1,In der Mitte,0,richtig,1,2011,1,Am Anfang,0,Indien,1,300,1,Modi,0,Korruption,1,2014,1,8,3,1
29,1,4,2,1,1,1,1,3,1,A061,Parlamentswahlen in Indien,2,Gar nicht,1,A231,Gandhi-Dynastie,1,Am Ende,1,Unsicher/Ich müsste raten,0,Unsicher/ich müsste raten,0,Unsicher/ich müsste raten,0,Indien,1,300,1,?,0,Korruption,1,2014,1,8,2,3
30,2,4,1,1,3,1,4,2,1,A061,Problematik in der indischen Regierung.,1,Gar nicht,1,A232,Gandhi-Dynastie,1,Unsicher/Ich müsste raten,0,richtig,1,2011,1,In der Mitte,1,Indien,1,300,1,,0,Korruption,1,,0,8,3,3
31,1,1,4,1,1,2,2,1,4,A061,"Der Artikel behandelte die im Mai anstehende Parlamentswahl, die drei Kandidierenden und in Teilen die Gesellschaft in Indien.",2,Etwas,3,A231,Modi-Dynastie,0,Am Ende,1,richtig,1,Unsicher/ich müsste raten,0,Unsicher/ich müsste raten,0,Indien,1,300,1,,0,Korruption,1,2014,1,8,2,2
32,2,3,3,1,1,1,1,2,1,A061,"Die drei Kandidatentypen der Parlamentswahlen in Indien, die Mai 2026 stattfinden werden",1,Gar nicht,1,A231,Gandhi-Dynastie,1,Am Ende,1,richtig,1,2011,1,Am Anfang,0,Indien,1,300,1,Gandhi,1,Korruption,1,2025,0,9,3,3
33,1,3,5,1,1,1,4,2,1,A062,Wählen inIndien 2014 insbesondere zwischen 3 Parteien unter insgesamt. 300,2,Gar nicht,1,A231,Gandhi-Dynastie,1,Am Ende,1,falsch,0,2011,1,In der Mitte,1,Indien,1,300,1,Ghandi,1,Korrupt zu sein,1,2014,1,11,3,3
34,1,1,3,1,1,2,2,1,4,A061,Die Hintergründe zur bevorstehenden Wahl in Indien.,2,Etwas,3,A231,Gandhi-Dynastie,1,Am Ende,1,richtig,1,2011,1,In der Mitte,1,Indien,1,300,1,,0,Korruption,1,2014,1,11,2,3
35,2,2,4,1,1,2,3,1,5,A061,Es geht um die anstehenden Parlamentswahlen in Indien und wer diese gewinnen könnte. Außerdem auch um die Jahre davor mit Korruption und der Rückkehr von wohlhabenden Indern die sich ins Ausland abgesetzt hatten und zurück kamen um in der Politik Einfluss zu nehmen.,2,Kaum,2,A232,Prinzen-Dynastie,0,In der Mitte,0,richtig,1,2011,1,In der Mitte,1,Indien,1,300,1,,0,Korruption,1,2014,1,9,3,1
36,2,3,2,1,1,2,4,2,3,A061,Die Parlamentswahlen in Indien und die drei wichtigsten Kandidaten,2,Kaum,2,A232,Gandhi-Dynastie,1,Am Ende,1,richtig,1,2011,1,In der Mitte,1,Indien,1,300,1,Gandhi,1,Korruption,1,2014,1,12,3,3
37,1,1,4,1,2,4,3,1,5,A061,"Es ging um den politischen und gesellschaftlichen Wandel Indiens: Genauer um den gesellschaftlichen Zwiespalt welcher zu verschiedensten Aufständen der Gesellschaft, Machtwechsel und -ideologien führte.",1,Gar nicht,1,A232,Gandhi-Dynastie,1,Unsicher/Ich müsste raten,0,Unsicher/Ich müsste raten,0,2011,1,In der Mitte,1,Indien,1,300,1,,0,Korruption,1,2014,1,8,2,3
38,1,1,4,1,2,2,3,1,5,A061,Die Politik in Indien und die aktuellen Akteure die dort eine Rolle spielen.,1,Kaum,2,A232,Gandhi-Dynastie,1,Unsicher/Ich müsste raten,0,richtig,1,Unsicher/ich müsste raten,0,In der Mitte,1,Indien,1,300,1,,0,Unfähigkeit,0,2013,0,6,1,3